folder,title,url

"dev","【南开大学 24C++】我 真 幸 运","https://www.bilibili.com/video/BV1kz421m7RQ/"
"dev","南开大学21级C++大作业","https://www.bilibili.com/video/BV1sZ4y1h7Ni/"
"dev","【南开大学23C++】doodlejump SpongeBob!-＞爷童回！！！","https://www.bilibili.com/video/BV1rT411h7C3/"
"dev","【南开大学23C++】最后的坤坤","https://www.bilibili.com/video/BV1Ds4y1X756/"
"dev","［南开大学23c++］大一学生卷不过周围同学，悲痛欲绝（），一气之下把坤坤和马保国做成了游戏","https://www.bilibili.com/video/BV1zh41177zH/"
"dev","[南开大学 23C++]混乱大枪战","https://www.bilibili.com/video/BV1ra4y1g78n/"
"dev","【南开大学23C++】抑烟丁真，需要10w播放，球球jrm了","https://www.bilibili.com/video/BV16m4y1b77P/"
"dev","【南开大学23c++】小草神跑酷","https://www.bilibili.com/video/BV1xo4y1c7ZL/"
"dev","[南开大学23C++]biu~biu~biu(2D矢量射击游戏)","https://www.bilibili.com/video/BV1Uc411P7bQ/"
"dev","[南开大学 23C++] 抛瓦人","https://www.bilibili.com/video/BV1cg4y1g7hE/"
"dev","黑马程序员前端JavaScript入门到精通全套视频教程，javascript核心进阶ES6语法、API、js高级等基础知识和实战教程","https://www.bilibili.com/video/BV1Y84y1L7Nn/"
"dev","为初学者准备的：HTML 速成","https://www.bilibili.com/video/BV1vs411M7aT/"
"dev","尚硅谷React教程（已加更新版内容，B站最火）","https://www.bilibili.com/video/BV1wy4y1D7JT/"
"dev","尚硅谷Vue2.0+Vue3.0全套教程丨vuejs从入门到精通","https://www.bilibili.com/video/BV1Zy4y1K7SH/"
"dev","【南开大学 23C++】关于我肝了个原神新活动这件事","https://www.bilibili.com/video/BV1Th411w77A/"
"dev","如何用数学理解一个数独？","https://www.bilibili.com/video/BV1QrpheREh4/"
"dev","信息学竞赛 (OI) 究竟发生了什么？","https://www.bilibili.com/video/BV1di421f7L5/"
"dev","新版chatGPT秒杀最新的leetcode周赛","https://www.bilibili.com/video/BV1MYtgeuEAF/"
"dev","Mac虚拟机 在Win的Linux子系统的Docker里运行MacOS，操作系统大套娃","https://www.bilibili.com/video/BV1j2421o77K/"
"dev","黑马程序员pink老师前端入门教程，零基础必看的h5(html5)+css3+移动端前端视频教程","https://www.bilibili.com/video/BV14J4114768/"
"dev","【GeekHour】一小时Git教程","https://www.bilibili.com/video/BV1HM411377j/"
"dev","JavaScript前端课程-dom-bom-js-es6新语法-jQuery-数据可视化echarts黑马pink老师前端入门基础视频教程(500多集)持续","https://www.bilibili.com/video/BV1Sy4y1C7ha/"
"dev","Node.js","https://www.bilibili.com/video/BV1cV4y1B7P4/"
"dev","【Web前端开发】《零基础入门学习Web开发》（HTML5&CSS3）","https://www.bilibili.com/video/BV1QW411N762/"
"dev","8小时转职Golang工程师(如果你想低成本学习Go语言)","https://www.bilibili.com/video/BV1gf4y1r79E/"
